,oktmo,value,municipal_district_name_short,territory_id,municipal_district_name,municipal_district_type,region_code,region_name
0,01-512-000-000,-4.121212121212121,Залесовский,525,Залесовский муниципальный округ,муниципальный округ,22,Алтайский край
1,01-539-000-000,-8.842105263157896,Славгород,511,муниципальный округ город Славгород,муниципальный округ,22,Алтайский край
2,01-541-000-000,-4.387096774193548,Суетский,553,муниципальный округ Суетский район,муниципальный округ,22,Алтайский край
3,01-558-000-000,-5.081081081081081,Чарышский,570,муниципальный округ Чарышский район,муниципальный округ,22,Алтайский край
4,01-601-000-000,-0.2702702702702703,Алейский,514,Алейский муниципальный район,муниципальный район,22,Алтайский край
5,01-602-000-000,11.657142857142857,Алтайский,515,Алтайский муниципальный район,муниципальный район,22,Алтайский край
6,01-603-000-000,-5.352941176470588,Баевский,516,Баевский муниципальный район,муниципальный район,22,Алтайский край
7,01-604-000-000,3.230769230769231,Бийский,517,Бийский муниципальный район,муниципальный район,22,Алтайский край
8,01-605-000-000,-2.7777777777777777,Благовещенский,518,Благовещенский муниципальный район,муниципальный район,22,Алтайский край
9,01-606-000-000,-3.3529411764705883,Бурлинский,519,Бурлинский муниципальный район,муниципальный район,22,Алтайский край
10,01-607-000-000,-0.7647058823529411,Быстроистокский,520,Быстроистокский муниципальный район,муниципальный район,22,Алтайский край
11,01-608-000-000,-1.0285714285714285,Волчихинский,521,Волчихинский муниципальный район,муниципальный район,22,Алтайский край
12,01-609-000-000,0.0,Егорьевский,522,Егорьевский муниципальный район,муниципальный район,22,Алтайский край
13,01-610-000-000,-1.3125,Ельцовский,523,Ельцовский муниципальный район,муниципальный район,22,Алтайский край
14,01-611-000-000,-4.057142857142857,Завьяловский,524,Завьяловский муниципальный район,муниципальный район,22,Алтайский край
15,01-612-000-000,-4.121212121212121,Залесовский,525,Залесовский муниципальный район,муниципальный район,22,Алтайский край
16,01-613-000-000,-13.157894736842104,Заринский,526,Заринский муниципальный район,муниципальный район,22,Алтайский край
17,01-614-000-000,-4.918918918918919,Змеиногорский,527,Змеиногорский муниципальный район,муниципальный район,22,Алтайский край
18,01-615-000-000,2.4444444444444446,Калманский,528,Калманский муниципальный район,муниципальный район,22,Алтайский край
19,01-616-000-000,-3.5135135135135136,Каменский,529,Каменский муниципальный район,муниципальный район,22,Алтайский край
