,indicator_section_code,indicator_section,indicator_code,indicator_name,region_id,region_name,mun_level,mun_district,municipality,oktmo,mun_type,mun_type_oktmo,oktmo_stable,oktmo_history,oktmo_year_from,oktmo_year_to,year,indicator_value,indicator_unit,indicator_period,comment
1,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Залесовский муниципальный округ,Залесовский муниципальный округ,1512000,Муниципальный округ,Муниципальный округ,01512000,Изменен тип и название,2022,2025,2023,37393.7,Рубль,Январь-декабрь,CD
2,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Муниципальный округ город Славгород,Муниципальный округ город Славгород,1539000,Муниципальный округ,Муниципальный округ,01539000,"Изменен тип и название, Объединение",2023,2025,2023,38373.0,Рубль,Январь-декабрь,CD
3,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Муниципальный округ Суетский район,Муниципальный округ Суетский район,1541000,Муниципальный округ,Муниципальный округ,01541000,Изменен тип и название,2023,2025,2023,33369.4,Рубль,Январь-декабрь,CD
4,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Муниципальный округ Чарышский район,Муниципальный округ Чарышский район,1558000,Муниципальный округ,Муниципальный округ,01558000,Изменен тип и название,2023,2025,2023,30329.1,Рубль,Январь-декабрь,CD
18,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Алейский муниципальный район,Алейский муниципальный район,1601000,Муниципальный район,Муниципальный район,01601000,Без изменений,2010,2025,2023,33042.7,Рубль,Январь-декабрь,CD
32,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Алтайский муниципальный район,Алтайский муниципальный район,1602000,Муниципальный район,Муниципальный район,01602000,Без изменений,2010,2025,2023,37552.5,Рубль,Январь-декабрь,CD
46,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Баевский муниципальный район,Баевский муниципальный район,1603000,Муниципальный район,Муниципальный район,01603000,Без изменений,2010,2025,2023,37796.9,Рубль,Январь-декабрь,CD
60,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Бийский муниципальный район,Бийский муниципальный район,1604000,Муниципальный район,Муниципальный район,01604000,Без изменений,2010,2025,2023,39061.4,Рубль,Январь-декабрь,CD
74,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Благовещенский муниципальный район,Благовещенский муниципальный район,1605000,Муниципальный район,Муниципальный район,01605000,Без изменений,2010,2025,2023,35974.3,Рубль,Январь-декабрь,CD
88,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48213004,Среднемесячная номинальная начисленная заработная плата работников муниципальных общеобразовательных организаций,1,Алтайский край,Муниципальное образование верхнего уровня,Бурлинский муниципальный район,Бурлинский муниципальный район,1606000,Муниципальный район,Муниципальный район,01606000,Без изменений,2010,2025,2023,32700.4,Рубль,Январь-декабрь,CD
