,indicator_section_code,indicator_section,indicator_code,indicator_name,sport,region_id,region_name,mun_level,mun_district,municipality,oktmo,mun_type,mun_type_oktmo,oktmo_stable,oktmo_history,oktmo_year_from,oktmo_year_to,indicator_value,indicator_unit,indicator_period,comment,year
1,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Залесовский муниципальный округ,Залесовский муниципальный округ,1512000,Муниципальный округ,Муниципальный округ,01512000,Изменен тип и название,2022,2025,40.0,Единица,Значение показателя за год,CD,2023
51,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Алейский муниципальный район,Алейский муниципальный район,1601000,Муниципальный район,Муниципальный район,01601000,Без изменений,2010,2025,61.0,Единица,Значение показателя за год,CD,2023
1043,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Алтайский муниципальный район,Алтайский муниципальный район,1602000,Муниципальный район,Муниципальный район,01602000,Без изменений,2010,2025,69.0,Единица,Значение показателя за год,CD,2023
1617,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Баевский муниципальный район,Баевский муниципальный район,1603000,Муниципальный район,Муниципальный район,01603000,Без изменений,2010,2025,40.0,Единица,Значение показателя за год,CD,2023
2028,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Бийский муниципальный район,Бийский муниципальный район,1604000,Муниципальный район,Муниципальный район,01604000,Без изменений,2010,2025,93.0,Единица,Значение показателя за год,CD,2023
2856,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Благовещенский муниципальный район,Благовещенский муниципальный район,1605000,Муниципальный район,Муниципальный район,01605000,Без изменений,2010,2025,71.0,Единица,Значение показателя за год,CD,2023
3574,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Бурлинский муниципальный район,Бурлинский муниципальный район,1606000,Муниципальный район,Муниципальный район,01606000,Без изменений,2010,2025,35.0,Единица,Значение показателя за год,CD,2023
4032,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Быстроистокский муниципальный район,Быстроистокский муниципальный район,1607000,Муниципальный район,Муниципальный район,01607000,Без изменений,2010,2025,40.0,Единица,Значение показателя за год,CD,2023
4503,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Волчихинский муниципальный район,Волчихинский муниципальный район,1608000,Муниципальный район,Муниципальный район,01608000,Без изменений,2010,2025,47.0,Единица,Значение показателя за год,CD,2023
5119,3,Спорт,Y48003002,Число муниципальных спортивных сооружений,Спортивные сооружения — всего,1,Алтайский край,Муниципальное образование верхнего уровня,Егорьевский муниципальный район,Егорьевский муниципальный район,1609000,Муниципальный район,Муниципальный район,01609000,Без изменений,2010,2025,59.0,Единица,Значение показателя за год,CD,2023
