,indicator_value,municipal_district_name_short,oktmo,territory_id,municipal_district_name,municipal_district_type,region_code,region_name,oktmo_nosplit
0,1.04,Славгород,01-539-000-000,511.0,муниципальный округ город Славгород,муниципальный округ,22.0,Алтайский край,01539000
1,1.0,Благовещенский,01-605-000-000,518.0,Благовещенский муниципальный район,муниципальный район,22.0,Алтайский край,01605000
2,1.0,Завьяловский,01-611-000-000,524.0,Завьяловский муниципальный район,муниципальный район,22.0,Алтайский край,01611000
3,1.0,Каменский,01-616-000-000,529.0,Каменский муниципальный район,муниципальный район,22.0,Алтайский край,01616000
4,2.0,Ключевский,01-617-000-000,530.0,Ключевский муниципальный район,муниципальный район,22.0,Алтайский край,01617000
5,1.0,Кулундинский,01-622-000-000,535.0,Кулундинский муниципальный район,муниципальный район,22.0,Алтайский край,01622000
6,1.0,Мамонтовский,01-626-000-000,539.0,Мамонтовский муниципальный район,муниципальный район,22.0,Алтайский край,01626000
7,1.0,Новичихинский,01-628-000-000,541.0,Новичихинский муниципальный район,муниципальный район,22.0,Алтайский край,01628000
8,1.0,Павловский,01-630-000-000,543.0,Павловский муниципальный район,муниципальный район,22.0,Алтайский край,01630000
9,1.7333333333333334,Поспелихинский,01-634-000-000,547.0,Поспелихинский муниципальный район,муниципальный район,22.0,Алтайский край,01634000
10,1.0,Смоленский,01-640-000-000,552.0,Смоленский муниципальный район,муниципальный район,22.0,Алтайский край,01640000
11,1.0,Шелаболихинский,01-645-000-000,557.0,Шелаболихинский муниципальный район,муниципальный район,22.0,Алтайский край,01645000
12,1.0952380952380953,Тальменский,01-647-000-000,559.0,Тальменский муниципальный район,муниципальный район,22.0,Алтайский край,01647000
13,1.0,Топчихинский,01-649-000-000,561.0,Топчихинский муниципальный район,муниципальный район,22.0,Алтайский край,01649000
14,1.0,Шипуновский,01-659-000-000,571.0,Шипуновский муниципальный район,муниципальный район,22.0,Алтайский край,01659000
15,2.391304347826087,Барнаул,01-701-000-000,504.0,городской округ город Барнаул,городской округ,22.0,Алтайский край,01701000
16,1.0,Алейск,01-703-000-000,505.0,городской округ город Алейск,городской округ,22.0,Алтайский край,01703000
17,1.0,Белокуриха,01-704-000-000,506.0,городской округ город Белокуриха,городской округ,22.0,Алтайский край,01704000
18,1.48,Бийск,01-705-000-000,507.0,городской округ город Бийск,городской округ,22.0,Алтайский край,01705000
19,1.0256410256410255,Новоалтайск,01-713-000-000,509.0,городской округ город Новоалтайск,городской округ,22.0,Алтайский край,01713000
20,1.0133333333333334,Рубцовск,01-716-000-000,510.0,городской округ город Рубцовск,городской округ,22.0,Алтайский край,01716000
21,1.0140845070422535,Яровое,01-730-000-000,512.0,городской округ город Яровое,городской округ,22.0,Алтайский край,01730000
22,2.0,Абинский,03-601-000-000,629.0,Абинский муниципальный район,муниципальный район,23.0,Краснодарский край,03601000
23,2.0,Апшеронский,03-605-000-000,630.0,Апшеронский муниципальный район,муниципальный район,23.0,Краснодарский край,03605000
24,2.0,Белоглинский,03-607-000-000,631.0,Белоглинский муниципальный район,муниципальный район,23.0,Краснодарский край,03607000
25,1.75,Белореченский,03-608-000-000,632.0,Белореченский муниципальный район,муниципальный район,23.0,Краснодарский край,03608000
26,1.0,Брюховецкий,03-610-000-000,633.0,Брюховецкий муниципальный район,муниципальный район,23.0,Краснодарский край,03610000
27,1.0,Выселковский,03-612-000-000,634.0,Выселковский муниципальный район,муниципальный район,23.0,Краснодарский край,03612000
28,1.3582089552238805,Гулькевичский,03-613-000-000,635.0,Гулькевичский муниципальный район,муниципальный район,23.0,Краснодарский край,03613000
29,3.3333333333333335,Динской,03-614-000-000,636.0,Динской муниципальный район,муниципальный район,23.0,Краснодарский край,03614000
30,1.6490066225165563,Ейский,03-616-000-000,637.0,Ейский муниципальный район,муниципальный район,23.0,Краснодарский край,03616000
31,2.0952380952380953,Кавказский,03-618-000-000,638.0,Кавказский муниципальный район,муниципальный район,23.0,Краснодарский край,03618000
32,1.2564102564102564,Калининский,03-619-000-000,639.0,Калининский муниципальный район,муниципальный район,23.0,Краснодарский край,03619000
33,1.3125,Каневской,03-620-000-000,640.0,Каневской муниципальный район,муниципальный район,23.0,Краснодарский край,03620000
34,2.5714285714285716,Кореновский,03-621-000-000,641.0,Кореновский муниципальный район,муниципальный район,23.0,Краснодарский край,03621000
35,3.130434782608696,Красноармейский,03-623-000-000,642.0,Красноармейский муниципальный район,муниципальный район,23.0,Краснодарский край,03623000
36,1.0,Крыловский,03-624-000-000,643.0,Крыловский муниципальный район,муниципальный район,23.0,Краснодарский край,03624000
37,2.5714285714285716,Крымский,03-625-000-000,644.0,Крымский муниципальный район,муниципальный район,23.0,Краснодарский край,03625000
38,2.0588235294117645,Курганинский,03-627-000-000,645.0,Курганинский муниципальный район,муниципальный район,23.0,Краснодарский край,03627000
39,1.0,Кущевский,03-628-000-000,646.0,Кущевский муниципальный район,муниципальный район,23.0,Краснодарский край,03628000
40,1.5416666666666667,Лабинский,03-630-000-000,647.0,Лабинский муниципальный район,муниципальный район,23.0,Краснодарский край,03630000
41,1.0,Ленинградский,03-632-000-000,648.0,Ленинградский муниципальный район,муниципальный район,23.0,Краснодарский край,03632000
42,1.0,Мостовский,03-633-000-000,649.0,Мостовский муниципальный район,муниципальный район,23.0,Краснодарский край,03633000
43,1.3333333333333333,Новопокровский,03-635-000-000,651.0,Новопокровский муниципальный район,муниципальный район,23.0,Краснодарский край,03635000
44,1.0,Отрадненский,03-637-000-000,652.0,Отрадненский муниципальный район,муниципальный район,23.0,Краснодарский край,03637000
45,1.0,Павловский,03-639-000-000,653.0,Павловский муниципальный район,муниципальный район,23.0,Краснодарский край,03639000
46,1.0,Приморско-Ахтарский,03-641-000-000,654.0,Приморско-Ахтарский муниципальный район,муниципальный район,23.0,Краснодарский край,03641000
47,1.7586206896551724,Северский,03-643-000-000,655.0,Северский муниципальный район,муниципальный район,23.0,Краснодарский край,03643000
48,1.8416666666666666,Славянский,03-645-000-000,656.0,Славянский муниципальный район,муниципальный район,23.0,Краснодарский край,03645000
49,1.0,Староминский,03-647-000-000,657.0,Староминский муниципальный район,муниципальный район,23.0,Краснодарский край,03647000
50,1.0,Тбилисский,03-649-000-000,658.0,Тбилисский муниципальный район,муниципальный район,23.0,Краснодарский край,03649000
51,1.3275862068965518,Темрюкский,03-651-000-000,659.0,Темрюкский муниципальный район,муниципальный район,23.0,Краснодарский край,03651000
52,3.6666666666666665,Тимашевский,03-653-000-000,660.0,Тимашевский муниципальный район,муниципальный район,23.0,Краснодарский край,03653000
53,4.5,Тихорецкий,03-654-000-000,661.0,Тихорецкий муниципальный район,муниципальный район,23.0,Краснодарский край,03654000
54,1.4074074074074074,Туапсинский,03-655-000-000,662.0,Туапсинский муниципальный район,муниципальный район,23.0,Краснодарский край,03655000
55,1.5185185185185186,Усть-Лабинский,03-657-000-000,664.0,Усть-Лабинский муниципальный район,муниципальный район,23.0,Краснодарский край,03657000
56,1.0,Щербиновский,03-659-000-000,665.0,Щербиновский муниципальный район,муниципальный район,23.0,Краснодарский край,03659000
57,4.086206896551724,Краснодар,03-701-000-000,622.0,городской округ город Краснодар,городской округ,23.0,Краснодарский край,03701000
58,2.0,Анапа,03-703-000-000,623.0,городской округ город-курорт Анапа,городской округ,23.0,Краснодарский край,03703000
59,2.7796610169491527,Армавир,03-705-000-000,624.0,городской округ город Армавир,городской округ,23.0,Краснодарский край,03705000
60,1.5909090909090908,Геленджик,03-708-000-000,625.0,городской округ город-курорт Геленджик,городской округ,23.0,Краснодарский край,03708000
61,1.032258064516129,Горячий Ключ,03-709-000-000,626.0,городской округ город Горячий Ключ,городской округ,23.0,Краснодарский край,03709000
62,1.8,Новороссийск,03-720-000-000,627.0,городской округ город Новороссийск,городской округ,23.0,Краснодарский край,03720000
