,oktmo,Административная деятельность_зарплата,Водоснабжение_зарплата,Гос. управление и военн. безопасность_зарплата,Гостиницы и общепит_зарплата,Деятельность экстер. организаций_зарплата,Добыча полезных ископаемых_зарплата,Здравоохранение_зарплата,ИТ и связь_зарплата,Научная и проф. деятельность_зарплата,Обрабатывающие производства_зарплата,Образование_зарплата,Операции с недвижимостью_зарплата,Прочие услуги_зарплата,Сельское хозяйство_зарплата,Спорт и досуг_зарплата,Строительство_зарплата,Торговля_зарплата,Транспортировка и хранение_зарплата,Услуги ЖКХ_зарплата,Финансы и страхование_зарплата,municipal_district_name_short,territory_id,municipal_district_name,municipal_district_type,region_code,region_name,oktmo_nosplit
0,01-512-000-000,33934.399999999994,30419.55,45931.725,,,,33291.925,32104.15,39862.275,33070.725,37064.9125,92597.225,,34808.375,35046.225,16978.85,37221.0875,42385.3125,39325.8,47518.12857142858,Залесовский,525,Залесовский муниципальный округ,муниципальный округ,22,Алтайский край,01512000
1,01-539-000-000,29919.8625,33247.875,54694.175,28236.32,,55592.725,37827.5375,43182.8375,34365.875,28148.875,37388.775,40628.725,33466.68571428571,47791.1,39279.425,73686.8625,44996.0375,48054.6875,42615.8875,50889.3375,Славгород,511,муниципальный округ город Славгород,муниципальный округ,22,Алтайский край,01539000
2,01-541-000-000,37068.75,32300.75,43477.475,39206.03333333333,,,28878.575,37984.275,32799.975000000006,60396.8,34380.6,,,59507.5,33591.05,,37304.25,60021.0625,39909.6,22280.3,Суетский,553,муниципальный округ Суетский район,муниципальный округ,22,Алтайский край,01541000
3,01-558-000-000,34522.225,17098.85,40901.675,21654.5,,,29412.6,29531.15,32315.4,35075.95,30473.1875,35243.45,,34782.15,30279.6,50153.73333333334,41401.475,36655.0625,35637.925,46051.825,Чарышский,570,муниципальный округ Чарышский район,муниципальный округ,22,Алтайский край,01558000
4,01-601-000-000,,23223.05,41719.0375,23795.25,,,32385.949999999997,,33540.375,45860.575,35659.125,,,38115.425,32631.4,,,43611.0,47790.225,33188.775,Алейский,514,Алейский муниципальный район,муниципальный район,22,Алтайский край,01601000
5,01-602-000-000,31644.8,42966.7125,50937.8,50485.8125,,,30414.575,32243.050000000003,36880.5125,44812.5,37005.6125,61926.975,20325.0,38546.825,28864.9375,61614.85,41489.375,42143.4125,42856.5625,48583.1,Алтайский,515,Алтайский муниципальный район,муниципальный район,22,Алтайский край,01602000
6,01-603-000-000,26974.3,27546.675,47371.4375,25269.375,,,28843.925,29790.075,30259.5625,,37496.075,,20800.0,55969.975,35204.425,,38139.9625,59900.63333333333,46178.8875,41962.375,Баевский,516,Баевский муниципальный район,муниципальный район,22,Алтайский край,01603000
7,01-604-000-000,139968.65,24878.125,51248.725,25835.4,,,34772.3,37553.15,43968.65,47609.125,38980.4,,,44311.775,36616.5375,100968.6,43256.2625,29488.775,37544.85,,Бийский,517,Бийский муниципальный район,муниципальный район,22,Алтайский край,01604000
8,01-605-000-000,33293.175,32693.05,50638.2,25192.0375,,,35397.4625,55554.9125,32180.675,53124.6,35685.9625,32468.4,33686.5,51018.2875,34881.1375,,41100.65,49303.9625,48941.375,46138.7375,Благовещенский,518,Благовещенский муниципальный район,муниципальный район,22,Алтайский край,01605000
9,01-606-000-000,33042.175,26706.325,48410.9125,25962.55,,,29596.5,32065.574999999997,35892.05,,33284.5375,24944.65,,38054.975,28526.425,,40948.7,53204.8125,39925.85,40558.325,Бурлинский,519,Бурлинский муниципальный район,муниципальный район,22,Алтайский край,01606000
10,01-607-000-000,28474.6,25833.3,45778.15,21502.35,,,28352.35,22977.0,30148.775,37614.8,35929.9375,,34205.425,40236.875,33997.9375,55847.08,36116.8,43724.5875,31224.4625,38738.75,Быстроистокский,520,Быстроистокский муниципальный район,муниципальный район,22,Алтайский край,01607000
