,index,oktmo_x,indicator_value,municipal_district_name_short,oktmo_y,territory_id,municipal_district_name,municipal_district_type,region_code,region_name,oktmo_nosplit
0,0,1512000,2502.25,,,,,,,,
1,1,1539000,7112.75,,,,,,,,
2,2,1541000,762.25,,,,,,,,
3,3,1558000,2033.0,,,,,,,,
4,4,1601000,2560.75,,,,,,,,
5,5,1602000,3797.0,,,,,,,,
6,6,1603000,2112.5,,,,,,,,
7,7,1604000,5609.5,,,,,,,,
8,8,1605000,5989.0,,,,,,,,
9,9,1606000,2062.75,,,,,,,,
10,10,1607000,1584.75,,,,,,,,
11,11,1608000,3092.0,,,,,,,,
12,12,1609000,2301.25,,,,,,,,
13,13,1610000,1012.75,,,,,,,,
14,14,1611000,3774.25,,,,,,,,
15,15,1613000,2220.0,,,,,,,,
16,16,1614000,3650.0,,,,,,,,
17,17,1615000,2397.5,,,,,,,,
18,18,1616000,8783.0,,,,,,,,
19,19,1617000,3389.25,,,,,,,,
20,20,1618000,3216.25,,,,,,,,
21,21,1619000,2434.25,,,,,,,,
22,22,1620000,3002.0,,,,,,,,
23,23,1621000,1959.75,,,,,,,,
24,24,1622000,4248.5,,,,,,,,
25,25,1623000,2179.5,,,,,,,,
26,26,1624000,2230.5,,,,,,,,
27,27,1625000,4836.0,,,,,,,,
28,28,1626000,4759.0,,,,,,,,
29,29,1627000,4194.5,,,,,,,,
30,30,1628000,2060.5,,,,,,,,
31,31,1629000,2930.0,,,,,,,,
32,32,1630000,7563.75,,,,,,,,
33,33,1631000,2098.75,,,,,,,,
34,34,1632000,7668.25,,,,,,,,
35,35,1633000,2401.75,,,,,,,,
36,36,1634000,4676.5,,,,,,,,
37,37,1635000,4785.25,,,,,,,,
38,38,1636000,3768.5,,,,,,,,
39,39,1637000,3063.5,,,,,,,,
40,40,1638000,3929.0,,,,,,,,
41,41,1640000,4528.0,,,,,,,,
42,42,1642000,2932.25,,,,,,,,
43,43,1643000,1760.0,,,,,,,,
44,44,1644000,1654.0,,,,,,,,
45,45,1645000,2328.5,,,,,,,,
