,indicator_section_code,indicator_section,indicator_code,indicator_name,region_id,region_name,mun_level,mun_district,municipality,oktmo,mun_type,mun_type_oktmo,oktmo_stable,oktmo_history,oktmo_year_from,oktmo_year_to,year,indicator_value,indicator_unit,indicator_period,comment
1,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48211001,"Общая площадь жилых помещений, приходящаяся в среднем на одного жителя — всего",1,Алтайский край,Муниципальное образование верхнего уровня,Залесовский муниципальный округ,Залесовский муниципальный округ,1512000,Муниципальный округ,Муниципальный округ,01512000,Изменен тип и название,2022,2025,2023,28.99,Квадратный метр,Значение показателя за год,CD
2,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48211001,"Общая площадь жилых помещений, приходящаяся в среднем на одного жителя — всего",1,Алтайский край,Муниципальное образование верхнего уровня,Муниципальный округ город Славгород,Муниципальный округ город Славгород,1539000,Муниципальный округ,Муниципальный округ,01539000,"Изменен тип и название, Объединение",2023,2025,2023,26.11,Квадратный метр,Значение показателя за год,CD
3,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48211001,"Общая площадь жилых помещений, приходящаяся в среднем на одного жителя — всего",1,Алтайский край,Муниципальное образование верхнего уровня,Муниципальный округ Суетский район,Муниципальный округ Суетский район,1541000,Муниципальный округ,Муниципальный округ,01541000,Изменен тип и название,2023,2025,2023,45.16,Квадратный метр,Значение показателя за год,CD
4,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48211001,"Общая площадь жилых помещений, приходящаяся в среднем на одного жителя — всего",1,Алтайский край,Муниципальное образование верхнего уровня,Муниципальный округ Чарышский район,Муниципальный округ Чарышский район,1558000,Муниципальный округ,Муниципальный округ,01558000,Изменен тип и название,2023,2025,2023,29.01,Квадратный метр,Значение показателя за год,CD
20,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48211001,"Общая площадь жилых помещений, приходящаяся в среднем на одного жителя — всего",1,Алтайский край,Муниципальное образование верхнего уровня,Алейский муниципальный район,Алейский муниципальный район,1601000,Муниципальный район,Муниципальный район,01601000,Без изменений,2010,2025,2023,29.47,Квадратный метр,Значение показателя за год,CD
36,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48211001,"Общая площадь жилых помещений, приходящаяся в среднем на одного жителя — всего",1,Алтайский край,Муниципальное образование верхнего уровня,Алтайский муниципальный район,Алтайский муниципальный район,1602000,Муниципальный район,Муниципальный район,01602000,Без изменений,2010,2025,2023,24.28,Квадратный метр,Значение показателя за год,CD
52,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48211001,"Общая площадь жилых помещений, приходящаяся в среднем на одного жителя — всего",1,Алтайский край,Муниципальное образование верхнего уровня,Баевский муниципальный район,Баевский муниципальный район,1603000,Муниципальный район,Муниципальный район,01603000,Без изменений,2010,2025,2023,33.0,Квадратный метр,Значение показателя за год,CD
68,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48211001,"Общая площадь жилых помещений, приходящаяся в среднем на одного жителя — всего",1,Алтайский край,Муниципальное образование верхнего уровня,Бийский муниципальный район,Бийский муниципальный район,1604000,Муниципальный район,Муниципальный район,01604000,Без изменений,2010,2025,2023,25.62,Квадратный метр,Значение показателя за год,CD
84,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48211001,"Общая площадь жилых помещений, приходящаяся в среднем на одного жителя — всего",1,Алтайский край,Муниципальное образование верхнего уровня,Благовещенский муниципальный район,Благовещенский муниципальный район,1605000,Муниципальный район,Муниципальный район,01605000,Без изменений,2010,2025,2023,28.93,Квадратный метр,Значение показателя за год,CD
100,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48211001,"Общая площадь жилых помещений, приходящаяся в среднем на одного жителя — всего",1,Алтайский край,Муниципальное образование верхнего уровня,Бурлинский муниципальный район,Бурлинский муниципальный район,1606000,Муниципальный район,Муниципальный район,01606000,Без изменений,2010,2025,2023,36.95,Квадратный метр,Значение показателя за год,CD
116,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48211001,"Общая площадь жилых помещений, приходящаяся в среднем на одного жителя — всего",1,Алтайский край,Муниципальное образование верхнего уровня,Быстроистокский муниципальный район,Быстроистокский муниципальный район,1607000,Муниципальный район,Муниципальный район,01607000,Без изменений,2010,2025,2023,32.27,Квадратный метр,Значение показателя за год,CD
132,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48211001,"Общая площадь жилых помещений, приходящаяся в среднем на одного жителя — всего",1,Алтайский край,Муниципальное образование верхнего уровня,Волчихинский муниципальный район,Волчихинский муниципальный район,1608000,Муниципальный район,Муниципальный район,01608000,Без изменений,2010,2025,2023,31.03,Квадратный метр,Значение показателя за год,CD
148,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48211001,"Общая площадь жилых помещений, приходящаяся в среднем на одного жителя — всего",1,Алтайский край,Муниципальное образование верхнего уровня,Егорьевский муниципальный район,Егорьевский муниципальный район,1609000,Муниципальный район,Муниципальный район,01609000,Без изменений,2010,2025,2023,33.86,Квадратный метр,Значение показателя за год,CD
164,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48211001,"Общая площадь жилых помещений, приходящаяся в среднем на одного жителя — всего",1,Алтайский край,Муниципальное образование верхнего уровня,Ельцовский муниципальный район,Ельцовский муниципальный район,1610000,Муниципальный район,Муниципальный район,01610000,Без изменений,2010,2025,2023,39.16,Квадратный метр,Значение показателя за год,CD
180,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48211001,"Общая площадь жилых помещений, приходящаяся в среднем на одного жителя — всего",1,Алтайский край,Муниципальное образование верхнего уровня,Завьяловский муниципальный район,Завьяловский муниципальный район,1611000,Муниципальный район,Муниципальный район,01611000,Без изменений,2010,2025,2023,29.5,Квадратный метр,Значение показателя за год,CD
210,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48211001,"Общая площадь жилых помещений, приходящаяся в среднем на одного жителя — всего",1,Алтайский край,Муниципальное образование верхнего уровня,Заринский муниципальный район,Заринский муниципальный район,1613000,Муниципальный район,Муниципальный район,01613000,Без изменений,2010,2025,2023,23.26,Квадратный метр,Значение показателя за год,CD
226,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48211001,"Общая площадь жилых помещений, приходящаяся в среднем на одного жителя — всего",1,Алтайский край,Муниципальное образование верхнего уровня,Змеиногорский муниципальный район,Змеиногорский муниципальный район,1614000,Муниципальный район,Муниципальный район,01614000,Без изменений,2010,2025,2023,30.89,Квадратный метр,Значение показателя за год,CD
242,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48211001,"Общая площадь жилых помещений, приходящаяся в среднем на одного жителя — всего",1,Алтайский край,Муниципальное образование верхнего уровня,Калманский муниципальный район,Калманский муниципальный район,1615000,Муниципальный район,Муниципальный район,01615000,Без изменений,2010,2025,2023,27.22,Квадратный метр,Значение показателя за год,CD
258,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48211001,"Общая площадь жилых помещений, приходящаяся в среднем на одного жителя — всего",1,Алтайский край,Муниципальное образование верхнего уровня,Каменский муниципальный район,Каменский муниципальный район,1616000,Муниципальный район,Муниципальный район,01616000,Объединение,2010,2025,2023,28.41,Квадратный метр,Значение показателя за год,CD
274,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48211001,"Общая площадь жилых помещений, приходящаяся в среднем на одного жителя — всего",1,Алтайский край,Муниципальное образование верхнего уровня,Ключевский муниципальный район,Ключевский муниципальный район,1617000,Муниципальный район,Муниципальный район,01617000,Без изменений,2010,2025,2023,42.36,Квадратный метр,Значение показателя за год,CD
290,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48211001,"Общая площадь жилых помещений, приходящаяся в среднем на одного жителя — всего",1,Алтайский край,Муниципальное образование верхнего уровня,Косихинский муниципальный район,Косихинский муниципальный район,1618000,Муниципальный район,Муниципальный район,01618000,Без изменений,2010,2025,2023,31.35,Квадратный метр,Значение показателя за год,CD
306,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48211001,"Общая площадь жилых помещений, приходящаяся в среднем на одного жителя — всего",1,Алтайский край,Муниципальное образование верхнего уровня,Красногорский муниципальный район,Красногорский муниципальный район,1619000,Муниципальный район,Муниципальный район,01619000,Без изменений,2010,2025,2023,28.72,Квадратный метр,Значение показателя за год,CD
322,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48211001,"Общая площадь жилых помещений, приходящаяся в среднем на одного жителя — всего",1,Алтайский край,Муниципальное образование верхнего уровня,Краснощёковский муниципальный район,Краснощёковский муниципальный район,1620000,Муниципальный район,Муниципальный район,01620000,Без изменений,2010,2025,2023,32.14,Квадратный метр,Значение показателя за год,CD
338,41,Показатели для оценки эффективности деятельности органов местного самоуправления городских округов и муниципальных районов,Y48211001,"Общая площадь жилых помещений, приходящаяся в среднем на одного жителя — всего",1,Алтайский край,Муниципальное образование верхнего уровня,Крутихинский муниципальный район,Крутихинский муниципальный район,1621000,Муниципальный район,Муниципальный район,01621000,Без изменений,2010,2025,2023,37.11,Квадратный метр,Значение показателя за год,CD
